Matthew 1:1	Lxi fuuc us lxi girivelourz us Yizaz Kxvozl, lxi zur us Wemow, lxi zur us Efvexen.
Matthew 1:17	Zu epp lxi girivelourz svun Efvexen lu Wemow evi suavliir girivelourz; erw svun Wemow lu lxi lecorg ehej lu Fefjpur, suavliir girivelourz; erw svun lxi lecorg ehej lu Fefjpur lu lxi kunorg us Kxvozl, suavliir girivelourz.
Matthew 1:18	Ruh lxi fovlx us Yizaz Kxvozl hez or lxoz hej: hxir xoz nulxiv Nevj hez guorg lu fi nevvoiw lu Yuziqx, fisuvi lxij keni lugilxiv lxi wozkumivj hez newi lxel zxi hez holx kxopw fj lxi Xupj Zqovol.
Matthew 1:19	Erw Yuziqx, xiv xazferw, fiorg er aqvogxl ner, erw rul wizovorg lu neci xiv e qafpok ibenqpi, xew e norw lu qal xiv ehej qvomelipj.
Matthew 1:20	Fal hxir xi hez gomorg lxuagxl lu lxizi lxorgz, er ergip us lxi Puvw keni lu xon or e wvien, zejorg, Yuziqx, zur us Wemow, xemi ru siev us lecorg Nevj ez juav hosi; fikeazi lxel hxokx oz or xiv fuwj oz us lxi Xupj Zqovol.
Matthew 1:21	Erw zxi hopp gomi fovlx lu e zur; erw jua hopp gomi xon lxi reni Yizaz; suv xi hopp gomi xoz qiuqpi zepmelour svun lxiov zorz.
Matthew 1:22	Ruh epp lxoz luuc qpeki zu lxel lxi huvw us lxi Puvw fj lxi qvuqxil nogxl kuni lvai,
Matthew 1:23	Zii, lxi movgor hopp fi holx kxopw, erw hopp gomi fovlx lu e zur, erw lxij hopp gomi xon lxi reni Onneraip, lxel oz, Guw holx az.
Matthew 1:24	Erw Yuziqx wow ez lxi ergip us lxi Puvw xew zeow lu xon, erw luuc xiv ez xoz hosi;
Matthew 1:25	Erw xi xew ru kurriklour holx xiv lopp zxi xew gomir fovlx lu e zur; erw xi gemi xon lxi reni Yizaz.
Matthew 2:1	Ruh hxir lxi fovlx us Yizaz luuc qpeki or Filx-pixin us Yaweie, or lxi wejz us Xivuw lxi corg, lxivi keni hozi nir svun lxi iezl lu Yivazepin,
Matthew 2:2	Zejorg, Hxivi oz lxi Corg us lxi Yihz hxuzi fovlx xez ruh lecir qpeki? Hi xemi ziir xoz zlev or lxi iezl erw xemi kuni lu gomi xon huvzxoq.
Matthew 2:3	Erw hxir ol keni lu lxi ievz us Xivuw lxi corg, xi hez lvuafpiw, erw epp Yivazepin holx xon.
Matthew 2:4	Erw xi gul lugilxiv epp lxi kxois qvoizlz erw zkvofiz us lxi qiuqpi, taizlourorg lxin ez lu hxivi lxi fovlx-qpeki us lxi Kxvozl huapw fi.
Matthew 2:5	Erw lxij zeow lu xon, Or Filx-pixin us Yaweie; suv zu ol oz zeow or lxi hvolorgz us lxi qvuqxil,
Matthew 2:6	Jua Filx-pixin, or lxi perw us Yawex, evi rul lxi piezl enurg lxi kxoisz us Yawex: ual us jua hopp kuni e vapiv, hxu hopp fi lxi ciiqiv us nj qiuqpi Ozveip.
Matthew 2:7	Lxir Xivuw zirl suv lxi hozi nir qvomelipj, erw qal taizlourz lu lxin efual hxel loni lxi zlev xew fiir ziir.
Matthew 2:8	Erw xi zirl lxin lu Filx-pixin erw zeow, Gu erw neci kivleor hxivi lxi juarg kxopw oz; erw hxir jua xemi ziir xon, pil ni xemi rihz us ol, zu lxel O nej kuni erw gomi xon huvzxoq.
Matthew 2:9	Erw esliv xievorg lxi corg, lxij hirl ur lxiov hej; erw lxi zlev hxokx lxij zeh or lxi iezl hirl fisuvi lxin, lopp ol keni lu vizl umiv lxi qpeki hxivi lxi juarg kxopw hez.
Matthew 2:10	Erw hxir lxij zeh lxi zlev lxij hivi sapp us yuj.
Matthew 2:11	Erw lxij keni orlu lxi xuazi, erw zeh lxi juarg kxopw holx Nevj, xoz nulxiv; erw sepporg wuhr ur lxiov sekiz lxij gemi xon huvzxoq; erw svun lxiov zluvi lxij gemi xon ussivorgz us gupw, qivsani, erw zqokiz.
Matthew 2:12	Erw ol hez newi kpiev lu lxin fj Guw or e wvien lxel lxij hivi rul lu gu fekc lu Xivuw; zu lxij hirl orlu lxiov kuarlvj fj erulxiv hej.
Matthew 2:13	Erw hxir lxij xew guri, er ergip us lxi Puvw keni lu Yuziqx or e wvien, zejorg, Gil aq erw leci lxi juarg kxopw erw xoz nulxiv, erw gu orlu Igjql, erw wu rul gu svun lxivi lopp O gomi jua huvw; suv Xivuw hopp fi zievkxorg suv lxi juarg kxopw lu qal xon lu wielx.
Matthew 2:14	Zu xi luuc lxi juarg kxopw erw xoz nulxiv fj rogxl, erw hirl orlu Igjql;
Matthew 2:15	Erw hez lxivi lopp lxi wielx us Xivuw; zu lxel lxi huvw us lxi Puvw lxvuagx lxi qvuqxil nogxl kuni lvai, Ual us Igjql xemi O zirl suv nj zur.
Matthew 2:16	Lxir Xivuw, hxir xi zeh lxel xi xew fiir lvokciw fj lxi hozi nir, hez mivj ergvj; erw xi zirl ual, erw qal lu wielx epp lxi nepi kxopwvir or Filx-pixin erw or epp lxi qevlz vuarw efual ol, svun lhu jievz upw erw arwiv, eklorg ur lxi cruhpiwgi hxokx xi xew gul holx kevi svun lxi hozi nir.
Matthew 2:17	Lxir lxi huvw us Yivinoex lxi qvuqxil keni lvai,
Matthew 2:18	Or Venex lxivi hez e zuarw us hiiqorg erw gviel zuvvuh, Vekxip hiiqorg suv xiv kxopwvir, erw zxi huapw rul fi kunsuvliw suv lxiov puzz.
Matthew 2:19	Fal hxir Xivuw hez wiew, er ergip us lxi Puvw keni or e wvien lu Yuziqx or Igjql,
Matthew 2:20	Zejorg, Gil aq erw leci lxi juarg kxopw erw xoz nulxiv, erw gu orlu lxi perw us Ozveip: fikeazi lxij hxu hivi ellinqlorg lu leci lxi juarg kxopw'z posi evi wiew.
Matthew 2:21	Erw xi gul aq, erw luuc lxi juarg kxopw erw xoz nulxiv, erw keni orlu lxi perw us Ozveip.
Matthew 2:22	Fal hxir ol keni lu xoz ievz lxel Evkxipeaz hez vaporg umiv Yaweie or lxi qpeki us xoz selxiv Xivuw, xi hez or siev us guorg lxivi; erw Guw xemorg gomir xon rihz us lxi wergiv or e wvien, xi hirl ual us lxi hej orlu lxi kuarlvj qevlz us Gepopii.
Matthew 2:23	Erw xi keni erw hez pomorg or e luhr reniw Redevilx: zu lxel lxi huvw us lxi qvuqxilz nogxl kuni lvai, Xi hopp fi reniw e Redeviri.
Matthew 3:1	Erw or lxuzi wejz Yuxr lxi Feqlozl keni qviekxorg or lxi hezli perw us Yaweie,
Matthew 3:2	Zejorg, Pil juav xievlz fi lavriw svun zor; suv lxi corgwun us xiemir oz riev.
Matthew 3:3	Suv lxoz oz xi us hxun Ozeoex lxi qvuqxil zeow, Lxi muoki us uri kvjorg or lxi hezli perw, Neci viewj lxi hej us lxi Puvw, neci xoz vuewz zlveogxl.
Matthew 3:4	Ruh Yuxr hez kpulxiw or kenip'z xeov, holx e pielxiv ferw efual xon; erw xoz suuw hez pukazlz erw xurij.
Matthew 3:5	Lxir Yivazepin erw epp Yaweie hirl ual lu xon, erw epp lxi qiuqpi svun riev Yuvwer;
Matthew 3:6	Erw lxij hivi gomir feqlozn fj xon or lxi vomiv Yuvwer, zejorg uqirpj lxel lxij xew wuri hvurg.
Matthew 3:7	Fal hxir xi zeh e ranfiv us lxi Qxevoziiz erw Zewwakiiz kunorg lu xoz feqlozn, xi zeow lu lxin, Usszqvorg us zreciz, el hxuzi huvw evi jua guorg or spogxl svun lxi hvelx lu kuni?
Matthew 3:8	Pil juav kxergi us xievl fi ziir or juav huvcz:
Matthew 3:9	Erw zej rul lu juavzipmiz, Hi xemi Efvexen suv uav selxiv; fikeazi O zej lu jua lxel Guw oz efpi svun lxizi zluriz lu neci kxopwvir suv Efvexen.
Matthew 3:10	Erw imir ruh lxi ebi oz qal lu lxi vuul us lxi lviiz; imivj lvii lxir hxokx wuiz rul gomi guuw svaol oz kal wuhr, erw qal orlu lxi sovi.
Matthew 3:11	Lvapj, O gomi feqlozn holx heliv lu lxuzi us jua hxuzi xievlz evi kxergiw; fal xi hxu kuniz esliv ni oz gvieliv lxer O, hxuzi zxuiz O en rul guuw iruagx lu leci aq: xi hopp gomi jua feqlozn holx lxi Xupj Zqovol erw holx sovi:
Matthew 3:12	Or hxuzi xerw oz lxi orzlvanirl holx hxokx xi hopp neci kpier xoz gveor; xi hopp qal lxi guuw gveor or xoz zluvi, fal lxi hezli hopp fi favriw aq or lxi sovi hxokx hopp rimiv fi qal ual.
Matthew 3:13	Lxir Yizaz keni svun Gepopii lu Yuxr el lxi Yuvwer, lu fi gomir feqlozn fj xon.
Matthew 3:14	Fal Yuxr huapw xemi ciql xon fekc, zejorg, Ol oz O hxu xemi riiw us feqlozn svun jua, erw wu jua kuni lu ni?
Matthew 3:15	Fal Yizaz newi erzhiv, zejorg lu xon, Pil ol fi zu ruh: fikeazi zu ol oz vogxl suv az lu neci vogxliuazrizz kunqpili. Lxir xi gemi xon feqlozn.
Matthew 3:16	Erw Yizaz, xemorg fiir gomir feqlozn, zlveogxl ehej hirl aq svun lxi heliv; erw, lxi xiemirz uqirorg, xi zeh lxi Zqovol us Guw kunorg wuhr ur xon ez e wumi;
Matthew 3:17	Erw e muoki keni ual us xiemir, zejorg, Lxoz oz nj wievpj pumiw Zur, holx hxun O en hipp qpieziw.
Matthew 4:1	Lxir Yizaz hez zirl fj lxi Zqovol orlu lxi hezli perw lu fi lizliw fj lxi Imop Uri.
Matthew 4:2	Erw esliv guorg holxual suuw suv suvlj wejz erw suvlj rogxlz, xi hez or riiw us ol.
Matthew 4:3	Erw lxi Imop Uri keni erw zeow lu xon, Os jua evi lxi Zur us Guw, gomi lxi huvw suv lxizi zluriz lu fikuni fview.
Matthew 4:4	Fal xi newi erzhiv erw zeow, Ol oz or lxi Hvolorgz, Fview oz rul ner'z urpj riiw, fal imivj huvw hxokx kuniz ual us lxi nualx us Guw.
Matthew 4:5	Lxir lxi Imop Uri luuc xon lu lxi xupj luhr; erw xi qal xon ur lxi xogxizl quorl us lxi Linqpi erw zeow lu xon,
Matthew 4:6	Os jua evi lxi Zur us Guw, pil juavzips gu wuhr; suv ol oz or lxi Hvolorgz, Xi hopp gomi xoz ergipz kevi umiv jua; erw, Or lxiov xerwz lxij hopp ciiq jua aq, zu lxel juav suul nej rul fi kvazxiw egeorzl e zluri.
Matthew 4:7	Yizaz zeow lu xon, Egeor ol oz or lxi Hvolorgz, Jua nej rul qal lxi Puvw juav Guw lu lxi lizl.
Matthew 4:8	Egeor, lxi Imop Uri luuc xon aq lu e mivj xogx nuarleor, erw pil xon zii epp lxi corgwunz us lxi huvpw erw lxi gpuvj us lxin;
Matthew 4:9	Erw xi zeow lu xon, Epp lxizi lxorgz hopp O gomi jua, os jua hopp gu wuhr ur juav seki erw gomi ni huvzxoq.
Matthew 4:10	Lxir zeow Yizaz lu xon, Ehej, Zeler: suv ol oz or lxi Hvolorgz, Gomi huvzxoq lu lxi Puvw juav Guw erw fi xoz zivmerl urpj.
Matthew 4:11	Lxir lxi Imop Uri hirl ehej svun xon, erw ergipz keni erw luuc kevi us xon.
Matthew 4:12	Ruh hxir ol keni lu xoz ievz lxel Yuxr xew fiir qal or qvozur, xi hirl ehej lu Gepopii;
Matthew 4:13	Erw guorg ehej svun Redevilx, xi keni erw newi xoz pomorg-qpeki or Keqivrean, hxokx oz fj lxi zie, or lxi kuarlvj us Difapar erw Reqxlepo:
Matthew 4:14	Zu lxel lxi huvw us lxi qvuqxil Ozeoex nogxl kuni lvai,
Matthew 4:15	Lxi perw us Difapar erw lxi perw us Reqxlepo, fj lxi hej us lxi zie, lxi ulxiv zowi us Yuvwer, Gepopii us lxi Girlopiz,
Matthew 4:16	Lxi qiuqpi hxu hivi or lxi wevc zeh e gviel pogxl, erw lu lxuzi or lxi perw us lxi zxewi us wielx wow lxi wehr kuni aq.
Matthew 4:17	Svun lxel loni Yizaz hirl efual qviekxorg erw zejorg, Pil juav xievlz fi lavriw svun zor, suv lxi corgwun us xiemir oz riev.
Matthew 4:18	Erw hxir xi hez hepcorg fj lxi zie us Gepopii, xi zeh lhu fvulxivz, Zonur, hxuzi ulxiv reni hez Qiliv, erw Erwvih, xoz fvulxiv, hxu hivi qallorg e ril orlu lxi zie; suv lxij hivi sozxivnir.
Matthew 4:19	Erw xi zeow lu lxin, Kuni esliv ni, erw O hopp neci jua sozxivz us nir.
Matthew 4:20	Erw zlveogxl ehej lxij pil gu lxi rilz erw hirl esliv xon.
Matthew 4:21	Erw guorg ur svun lxivi xi zeh lhu ulxiv fvulxivz, Yeniz, lxi zur us Difiwii, erw Yuxr, xoz fvulxiv, or lxi fuel holx lxiov selxiv, zlolkxorg aq lxiov rilz; erw xi zeow, Kuni.
Matthew 4:22	Erw lxij hirl zlveogxl svun lxi fuel erw lxiov selxiv erw keni esliv xon.
Matthew 4:23	Erw Yizaz hirl efual or epp Gepopii, liekxorg or lxiov Zjregugaiz erw qviekxorg lxi guuw rihz us lxi corgwun, erw necorg hipp lxuzi hxu hivi opp holx erj woziezi enurg lxi qiuqpi.
Matthew 4:24	Erw rihz us xon hirl ual lxvuagx epp Zjvoe; erw lxij luuc lu xon epp hxu hivi opp holx wossivirl wozieziz erw qeorz, lxuzi xemorg imop zqovolz erw lxuzi hxu hivi uss lxiov xiewz, erw lxuzi hxu xew ru quhiv us numorg. Erw xi newi lxin hipp.
Matthew 4:25	Erw lxivi hirl esliv xon gviel ranfivz svun Gepopii erw Wikequpoz erw Yivazepin erw Yaweie erw svun lxi ulxiv zowi us Yuvwer.
Matthew 5:1	Erw ziiorg gviel nezziz us qiuqpi xi hirl aq orlu lxi nuarleor; erw hxir xi hez zieliw xoz wozkoqpiz keni lu xon.
Matthew 5:2	Erw holx lxizi huvwz xi gemi lxin liekxorg, zejorg,
Matthew 5:3	Xeqqj evi lxi quuv or zqovol: suv lxi corgwun us xiemir oz lxiovz.
Matthew 5:4	Xeqqj evi lxuzi hxu evi zew: suv lxij hopp fi kunsuvliw.
Matthew 5:5	Xeqqj evi lxi girlpi: suv lxi ievlx hopp fi lxiov xivolegi.
Matthew 5:6	Xeqqj evi lxuzi hxuzi xievl'z wizovi oz suv vogxliuazrizz: suv lxij hopp xemi lxiov wizovi.
Matthew 5:7	Xeqqj evi lxuzi hxu xemi nivkj: suv lxij hopp fi gomir nivkj.
Matthew 5:8	Xeqqj evi lxi kpier or xievl: suv lxij hopp zii Guw.
Matthew 5:9	Xeqqj evi lxi qiekinecivz: suv lxij hopp fi reniw zurz us Guw.
Matthew 5:10	Xeqqj evi lxuzi hxu evi ellekciw ur ekkuarl us vogxliuazrizz: suv lxi corgwun us xiemir hopp fi lxiovz.
Matthew 5:11	Xeqqj evi jua hxir nir gomi jua e few reni, erw evi kvaip lu jua, erw zej epp imop lxorgz egeorzl jua sepzipj, fikeazi us ni.
Matthew 5:12	Fi gpew erw sapp us yuj; suv gviel oz juav vihevw or xiemir: suv zu hivi lxi qvuqxilz ellekciw hxu hivi fisuvi jua.
Matthew 5:13	Jua evi lxi zepl us lxi ievlx; fal os olz lezli guiz svun lxi zepl, xuh hopp jua neci ol zepl egeor? ol oz lxir guuw suv rulxorg fal lu fi qal ual erw kvazxiw arwiv suul fj nir.
Matthew 5:14	Jua evi lxi pogxl us lxi huvpw. E luhr qal ur e xopp nej fi ziir fj epp.
Matthew 5:15	Erw e favrorg pogxl oz rul qal arwiv e mizzip, fal ur olz lefpi; zu lxel olz vejz nej fi zxororg ur epp hxu evi or lxi xuazi.
Matthew 5:16	Imir zu pil juav pogxl fi zxororg fisuvi nir, zu lxel lxij nej zii juav guuw huvcz erw gomi gpuvj lu juav Selxiv or xiemir.
Matthew 5:17	Pil lxivi fi ru lxuagxl lxel O xemi kuni lu qal er irw lu lxi peh uv lxi qvuqxilz. O xemi rul kuni suv wizlvaklour, fal lu neci kunqpili.
Matthew 5:18	Lvapj O zej lu jua, Lopp xiemir erw ievlx kuni lu er irw, rul lxi zneppizl pilliv uv qevl us e pilliv hopp or erj hej fi lecir svun lxi peh, lopp epp lxorgz evi wuri.
Matthew 5:19	Hxuimiv lxir guiz egeorzl lxi zneppizl us lxizi pehz, liekxorg nir lu wu lxi zeni, hopp fi reniw piezl or lxi corgwun us xiemir; fal xi hxu ciiqz lxi pehz, liekxorg ulxivz lu ciiq lxin, hopp fi reniw gviel or lxi corgwun us xiemir.
Matthew 5:20	Suv O zej lu jua, Os juav vogxliuazrizz oz rul gvieliv lxer lxi vogxliuazrizz us lxi zkvofiz erw Qxevoziiz, jua hopp rimiv gu orlu lxi corgwun us xiemir.
Matthew 5:21	Jua xemi cruhpiwgi lxel ol hez zeow or upw loniz, Jua nej rul qal lu wielx; erw, Hxuimiv qalz lu wielx hopp fi or wergiv us fiorg yawgiw:
Matthew 5:22	Fal O zej lu jua lxel imivjuri hxu oz ergvj holx xoz fvulxiv hopp fi or wergiv us fiorg yawgiw; erw xi hxu zejz lu xoz fvulxiv, Veke, hopp fi or wergiv svun lxi Zerxiwvor; erw hxuimiv zejz, Jua suupozx uri, hopp fi or wergiv us lxi xipp us sovi.
Matthew 5:23	Os lxir jua evi necorg er ussivorg el lxi eplev erw lxivi ol kuniz lu juav norw lxel juav fvulxiv xez zunilxorg egeorzl jua,
Matthew 5:24	Hxopi juav ussivorg oz zlopp fisuvi lxi eplev, sovzl gu erw neci qieki holx juav fvulxiv, lxir kuni erw neci juav ussivorg.
Matthew 5:25	Kuni lu er egviinirl taokcpj holx xon hxu xez e keazi egeorzl jua el peh, hxopi jua evi holx xon ur lxi hej, suv siev lxel xi nej gomi jua aq lu lxi yawgi erw lxi yawgi nej gomi jua lu lxi qupoki erw jua nej fi qal orlu qvozur.
Matthew 5:26	Lvapj O zej lu jua, Jua hopp rul kuni ual svun lxivi lopp jua xemi newi qejnirl us lxi mivj pezl sevlxorg.
Matthew 5:27	Jua xemi cruhpiwgi lxel ol hez zeow, Jua nej rul xemi kurriklour holx erulxiv ner'z hosi:
Matthew 5:28	Fal O zej lu jua lxel imivjuri hxuzi ijiz evi lavriw ur e huner holx wizovi xez xew kurriklour holx xiv or xoz xievl.
Matthew 5:29	Erw os juav vogxl iji oz e keazi us lvuafpi lu jua, leci ol ual erw qal ol ehej svun jua; fikeazi ol oz filliv lu arwivgu lxi puzz us uri qevl, lxer suv epp juav fuwj lu gu orlu xipp.
Matthew 5:30	Erw os juav vogxl xerw oz e keazi us lvuafpi lu jua, pil ol fi kal uss erw qal ol ehej svun jua; fikeazi ol oz filliv lu arwivgu lxi puzz us uri qevl, lxer suv epp juav fuwj lu gu orlu xipp.
Matthew 5:31	Egeor, ol hez zeow, Hxuimiv qalz ehej xoz hosi xez lu gomi xiv e zlelinirl or hvolorg suv lxoz qavquzi:
Matthew 5:32	Fal O zej lu jua lxel imivjuri hxu qalz ehej xoz hosi suv erj ulxiv keazi fal lxi puzz us xiv movlai, neciz xiv sepzi lu xiv xazferw; erw hxuimiv leciz xiv ez xoz hosi esliv zxi oz qal ehej, oz ru lvai xazferw lu xiv.
Matthew 5:33	Egeor, jua xemi cruhpiwgi lxel ol hez zeow or upw loniz, Wu rul leci sepzi uelxz, fal gomi issikl lu juav uelxz lu lxi Puvw:
Matthew 5:34	Fal O zej lu jua, Leci ru uelxz el epp: rul fj lxi xiemir, fikeazi ol oz lxi ziel us Guw;
Matthew 5:35	Uv fj lxi ievlx, fikeazi ol oz lxi vizlorg-qpeki suv xoz suul; uv fj Yivazepin, fikeazi ol oz lxi luhr us lxi gviel Corg.
Matthew 5:36	Jua nej rul leci er uelx fj juav xiew, fikeazi jua evi rul efpi lu neci uri xeov hxoli uv fpekc.
Matthew 5:37	Fal pil juav huvwz fi zonqpj, Jiz uv Ru: erw hxelimiv oz nuvi lxer lxizi oz us lxi Imop Uri.
Matthew 5:38	Jua xemi cruhpiwgi lxel ol hez zeow, Er iji suv er iji, erw e luulx suv e luulx:
Matthew 5:39	Fal O zej lu jua, Wu rul neci azi us suvki egeorzl er imop ner; fal lu xon hxu gomiz jua e fpuh ur lxi vogxl zowi us juav seki pil lxi pisl fi lavriw.
Matthew 5:40	Erw os erj ner guiz lu peh holx jua erw leciz ehej juav kuel, wu rul ciiq fekc juav vufi svun xon.
Matthew 5:41	Erw hxuimiv neciz jua gu uri nopi, gu holx xon lhu.
Matthew 5:42	Gomi lu xon hxu kuniz holx e vitaizl, erw ciiq rul juav qvuqivlj svun xon hxu huapw suv e loni neci azi us ol.
Matthew 5:43	Jua xemi cruhpiwgi lxel ol hez zeow, Xemi pumi suv juav riogxfuav, erw xeli suv xon hxu oz egeorzl jua:
Matthew 5:44	Fal O zej lu jua, Xemi pumi suv lxuzi hxu evi egeorzl jua, erw neci qvejiv suv lxuzi hxu evi kvaip lu jua;
Matthew 5:45	Zu lxel jua nej fi lxi zurz us juav Selxiv or xiemir; suv xoz zar gomiz pogxl lu lxi imop erw lu lxi guuw, erw xi zirwz veor ur lxi aqvogxl ner erw ur lxi zorriv.
Matthew 5:46	Suv os jua xemi pumi suv lxuzi hxu xemi pumi suv jua, hxel kviwol oz ol lu jua? wu rul lxi leb-sevnivz lxi zeni?
Matthew 5:47	Erw os jua zej, Guuw wej, lu juav fvulxivz urpj, hxel wu jua wu nuvi lxer ulxivz? wu rul imir lxi Girlopiz lxi zeni?
Matthew 5:48	Fi lxir kunqpili or vogxliuazrizz, imir ez juav Selxiv or xiemir oz kunqpili.
Matthew 6:1	Leci kevi rul lu wu juav guuw huvcz fisuvi nir, lu fi ziir fj lxin; uv jua hopp xemi ru vihevw svun juav Selxiv or xiemir.
Matthew 6:2	Hxir lxir jua gomi nurij lu lxi quuv, wu rul neci e ruozi efual ol, ez lxi sepzi-xievliw nir wu or lxi Zjregugaiz erw or lxi zlviilz, zu lxel lxij nej xemi gpuvj svun nir. Lvapj, O zej lu jua, Lxij xemi lxiov vihevw.
Matthew 6:3	Fal hxir jua gomi nurij, pil rul juav pisl xerw zii hxel juav vogxl xerw wuiz:
Matthew 6:4	Zu lxel juav gomorg nej fi or zikvil; erw juav Selxiv, hxu ziiz or zikvil, hopp gomi jua juav vihevw.
Matthew 6:5	Erw hxir jua neci juav qvejivz, fi rul poci lxi sepzi-xievliw nir, hxu leci qpiezavi or gillorg aq erw zejorg lxiov qvejivz or lxi Zjregugaiz erw el lxi zlviil lavrorgz zu lxel lxij nej fi ziir fj nir. Lvapj O zej lu jua, Lxij xemi lxiov vihevw.
Matthew 6:6	Fal hxir jua neci juav qvejiv, gu orlu juav qvomeli vuun, erw, zxallorg lxi wuuv, zej e qvejiv lu juav Selxiv or zikvil, erw juav Selxiv, hxu ziiz or zikvil, hopp gomi jua juav vihevw.
Matthew 6:7	Erw or juav qvejiv wu rul neci azi us lxi zeni huvwz egeor erw egeor, ez lxi Girlopiz wu: suv lxij xemi lxi owie lxel Guw hopp gomi ellirlour lu lxin fikeazi us lxi ranfiv us lxiov huvwz.
Matthew 6:8	Zu fi rul poci lxin; fikeazi juav Selxiv xez cruhpiwgi us juav riiwz imir fisuvi jua neci juav vitaizlz lu xon.
Matthew 6:9	Pil lxoz lxir fi juav qvejiv: Uav Selxiv or xiemir, nej juav reni fi ciql xupj.
Matthew 6:10	Pil juav corgwun kuni. Pil juav qpiezavi fi wuri, ez or xiemir, zu ur ievlx.
Matthew 6:11	Gomi az lxoz wej fview suv uav riiwz.
Matthew 6:12	Erw neci az svii us uav wiflz, ez hi xemi newi lxuzi svii hxu evi or wifl lu az.
Matthew 6:13	Erw pil az rul fi qal lu lxi lizl, fal ciiq az zesi svun lxi Imop Uri.
Matthew 6:14	Suv os jua pil nir xemi suvgomirizz suv lxiov zorz, jua hopp xemi suvgomirizz svun juav Selxiv or xiemir.
Matthew 6:15	Fal os jua wu rul pil nir xemi suvgomirizz suv lxiov zorz, jua hopp rul xemi suvgomirizz svun juav Selxiv suv juav zorz.
Matthew 6:16	Erw hxir jua gu holxual suuw, fi rul zew-sekiw ez lxi sepzi-xievliw evi. Suv lxij gu efual holx kxergiw puucz, zu lxel nir nej zii lxel lxij evi guorg holxual suuw. Lvapj O zej lu jua, Lxij xemi lxiov vihevw.
Matthew 6:17	Fal hxir jua gu holxual suuw, qal uop ur juav xiew erw neci juav seki kpier;
Matthew 6:18	Zu lxel ru uri nej zii lxel jua evi guorg holxual suuw, fal juav Selxiv or zikvil; erw juav Selxiv, hxu ziiz or zikvil, hopp gomi jua juav vihevw.
Matthew 6:19	Neci ru zluvi us hieplx suv juavzipmiz ur ievlx, hxivi ol nej fi lavriw lu wazl fj huvnz erw hielxiv, erw hxivi lxoimiz nej kuni or fj suvki erw leci ol ehej.
Matthew 6:20	Fal neci e zluvi suv juavzipmiz or xiemir, hxivi ol hopp rul fi lavriw lu wazl erw hxivi lxoimiz wu rul kuni or lu leci ol ehej:
Matthew 6:21	Suv hxivi juav hieplx oz, lxivi hopp juav xievl fi.
Matthew 6:22	Lxi pogxl us lxi fuwj oz lxi iji; os lxir juav iji oz lvai, epp juav fuwj hopp fi sapp us pogxl.
Matthew 6:23	Fal os juav iji oz imop, epp juav fuwj hopp fi wevc. Os lxir lxi pogxl hxokx oz or jua oz wevc, xuh wevc ol hopp fi!
